Id, Title, Brand, Image, Price 
53,Dell Inspiron 14R 5421 1.8GHz, 16GB, 500GB Windows 7 Office 07 14" Touchscreen ,Dell,https://i.ebayimg.com/thumbs/images/g/PPkAAOSw65FXqQDe/s-l225.jpg,$399.87 
54,Lenovo Thinkpad W541 15.6" Core i7-4810MQ 2.8GHz 8GB 500GB Win10 Quadro K1100M ,Lenovo,https://i.ebayimg.com/thumbs/images/g/3GMAAOSwBG9co7NY/s-l225.jpg,$422.10 
55,HP Stream 14 inch Laptop Intel N3060 32GB eMMC 4GB RAM Windows 10S Office 365,HP,https://i.ebayimg.com/thumbs/images/g/6RcAAOSwWrNcISQL/s-l225.jpg,$175.00 
56,OB Huawei Matebook X Pro 13.9" 53010CAJ Intel i7-8550U 512GB SSD 16GB MX150,Huawei,https://i.ebayimg.com/thumbs/images/g/CNUAAOSwAWtbsrB2/s-l225.jpg,$1,169.99 
57,Lenovo 15.6" W541 i7-4810MQ@3.8GHz(max) NVIDIA-K1100M 16GB-RAM 512GB-SSD Win-10,Lenovo,https://i.ebayimg.com/thumbs/images/m/mUxu3mhiOoUPXORq66Zl29w/s-l225.jpg,$445.00  
58,Dell Latitude E6400 Intel Core 2 2.4GHz 3GB 500GB WiFi Windows XP Pro WiFi,Dell,https://i.ebayimg.com/thumbs/images/g/ZIkAAOSwVFlT8Oo9/s-l225.jpg,$149.99 
59,RUGGED LAPTOP Panasonic *TUGHBOOK* CF-30 MK2,TOUCHSCREEN@1.6GHz*4GB*320GB*WIN7,Panasonic,https://i.ebayimg.com/thumbs/images/g/yEcAAOSwCxdaquGE/s-l225.jpg,$199.99 
60,Dell Inspiron 15 3567 15.6" Laptop Intel i3-7130U 2.7GHz 8GB 1TB Intel HD 620,Dell,https://i.ebayimg.com/thumbs/images/g/-LgAAOSwzodcQpAV/s-l225.jpg,$369.99 
61,HP Touchscreen 15.6" Laptop i5-7200U HDMI DVD-RW Customize Ram/Hard Drive Win 10,HP,https://i.ebayimg.com/thumbs/images/m/m-nDp9FtOOxibsWzxyNcJtg/s-l225.jpg,$483.99  
62,NEW Lenovo ThinkPad X1 Carbon 14" Laptop Intel Core i7 16GB Mem 20KH002RUS,Lenovo,https://i.ebayimg.com/thumbs/images/g/YNYAAOSwupBcxSsP/s-l225.jpg,$1,549.00 
63,Dell Latitude 3470 14" Laptop i5-6200U 2.3GHz 16GB DDR3 500GB HDD Win 10 B16G982,Dell,https://i.ebayimg.com/thumbs/images/g/El0AAOSwAThcSK4c/s-l225.jpg,$349.99 
64,HP Notebook-Red 15-f272wm 15.6" , Intel Pentium, 2.16GHz, 4GB, Win10 DVD 💻,HP,https://i.ebayimg.com/thumbs/images/g/fxUAAOSwZVpcrQZC/s-l225.jpg,$160.95 
65,14" HP FOLIO 9470M Intel Core i5-3437U 1.90GHz 500GB 8GB - Windows 10 Pro,HP,https://i.ebayimg.com/thumbs/images/g/Mh0AAOSw0RlbsjhC/s-l225.jpg,$146.40 
66,New Dell XPS 139380 13.3"FHD 256GB SSD, Intel Core i5 8265U 8GB Laptop,Dell,https://i.ebayimg.com/thumbs/images/g/jDUAAOSws7xc0Fgj/s-l225.jpg,$1,095.00 
67,Toshiba Satellite 14" L745320GB, INTEL CORE i32.20GHz, 4GB WIN 10 ,Toshiba,https://i.ebayimg.com/thumbs/images/g/K1MAAOSwtcRb8Vnj/s-l225.jpg,$198.00 
68,Dell Latitude E6430 Notebook,Dell,https://i.ebayimg.com/thumbs/images/m/mOhGBiudQSlNYPlPm9w0U6w/s-l225.jpg,$166.00 
69,Lenovo Thinkpad L530 / i5-3320M / 2.6GHz 8GB / 320GB HDD USED ,Lenovo,https://i.ebayimg.com/thumbs/images/g/FeoAAOSw1Rtcrk1N/s-l225.jpg,$134.95 
70,Dell Latitude 7250 i7-5600U @2.6GHz 8GB RAM, 128GB SSD, COWZT32,Dell,https://i.ebayimg.com/thumbs/images/g/hJoAAOSw~htc0Jps/s-l225.jpg,$221.96 
71,HP EliteBook 850 G5 | Intel Core i7-8650U| 8GB RAM | 256GB SSD | 3RS10UT,HP,https://i.ebayimg.com/thumbs/images/g/UuUAAOSwi7ZclsrO/s-l225.jpg,$889.00 
72, HP X360 15.6" Touchscreen 2-in-1 Laptop/Intel i3/20GB/1TB/Win10/Pen/Silver ,HP,https://i.ebayimg.com/thumbs/images/g/ewYAAOSwESRcEJlQ/s-l225.jpg,$478.88 
73,HP Chromebook 14-SMB 14" Laptop Intel Celeron N2940 1.83GHz 4GB 16GB SSD Chrome,HP,https://i.ebayimg.com/thumbs/images/g/YDEAAOSwyUpcgEd5/s-l225.jpg,$82.99 
74,NEW Asus Pro B9440UA 14" Laptop Dual Core i7-7500U 2.7GHz 16GB 512GB WS 10,Asus,https://i.ebayimg.com/thumbs/images/g/x2oAAOSw3RZaPv83/s-l225.jpg,$1,679.99 
75,Dell Latitude E6540, 15.6", Core i7-4610M 3.0GHz, 8GB, 250GB SSD ,Windows 10 Pr0,Dell,https://i.ebayimg.com/thumbs/images/g/c5cAAOSwBmJc0FSR/s-l225.jpg,$325.00 
76,Dell Latitude E7440 Core i5 14" Dual-Core 1.9GHz 500GB SSD 8GB Ultrabook,Dell,https://i.ebayimg.com/thumbs/images/m/mo49gay45P0C2lnon3DCYIQ/s-l225.jpg,$239.99  
77,Dell Latitude E6420 Intel Core i7-2760QM 2.40GHz 8GB RAM 256GB SSD Win 7 Pro ,Dell,https://i.ebayimg.com/thumbs/images/g/HbMAAOSwRXJc0DiH/s-l225.jpg,$180.00 
78,Dell Latitude E6400 Intel Core 2 Duo T9550 2.66GHz 500GB HDD Windows XP NVS 160M,Dell,https://i.ebayimg.com/thumbs/images/g/Gm8AAOSw9Ydcz4Iy/s-l225.jpg,$99.95 
79, Lenovo Thinkpad 20H1006DUS 14” E470 NoteBook Intel i5 2.5GHz 8GB 1TB WS 10,Lenovo,https://i.ebayimg.com/thumbs/images/g/AeMAAOSw~RVaRasW/s-l225.jpg,$1,249.95 
80,Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD 4GB 500GB SSHD BT FPR Win10,Lenovo,https://i.ebayimg.com/thumbs/images/g/bukAAOSwVtta~ksr/s-l225.jpg,$199.00 
81,Dell Latitude E5430 i5-3230M 2.6ghz 4GB 320GB WIN10 LAPTOP - Bad Battery,Dell,https://i.ebayimg.com/thumbs/images/g/hxkAAOSwolpcFbBA/s-l225.jpg,$119.00 
82, HP EliteBook 840 G414" Professional Laptop i5 2.5GHz 8GB 512GB SSD WS 10,HP,https://i.ebayimg.com/thumbs/images/g/YCQAAOSwdnZaPt~Q/s-l225.jpg,$1,649.95 
